# BEAST v1.7.5
# Generated Fri Jan 09 13:22:24 CST 2015 [seed=1420831343751]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood
0	-5014.795410566323	-326.0762698085951	-4688.7191407577275	5.832984351154034	20.0	0.05	5.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0050	-4688.7191407577275
100000	-4163.835827852756	-794.7151334840523	-3369.120694368703	228.9333668891357	70657.47803488348	0.029002031082192126	2.4576826873972233	6.039866792821253	0.33796181782673873	0.19351558198853083	0.22339742731610648	0.2451251728686241	8.664470087561554E-6	-3369.120694368703
200000	-3899.981273322673	-537.9424782568954	-3362.038795065778	23.511483870719253	333286.42315764184	0.24250370357512296	0.0018046646782405185	5.308171064633498	0.33633788329442066	0.19953966888683913	0.223543096714613	0.24057935110412723	1.4511073082750943E-4	-3362.038795065778
300000	-3938.107639825446	-548.1807079946852	-3389.9269318307606	15.500700430024834	8.114044962010156E7	0.40207030211170625	2.1877463290218415E-5	4.104416005291845	0.33899493858208674	0.19590153577525393	0.23230967055493482	0.23279385508772438	1.0526598858577549E-4	-3389.9269318307606
400000	-4173.026614431576	-805.4695717439233	-3367.5570426876525	276.91678443956187	1.2788756916427793E8	0.021608441003766687	0.0013025734149380496	5.43556922155713	0.34571130251746734	0.17540565655802043	0.22489635422991106	0.25398668669460106	8.685648831287145E-6	-3367.5570426876525
500000	-3962.2280289629125	-592.5567016246562	-3369.6713273382566	51.141686340101266	2.148018205296732E9	0.009078777978666075	4.542220540117524E-7	7.5704351430385595	0.359123112247348	0.1784750694262428	0.20831108780150295	0.2540907305249063	8.053185580757427E-5	-3369.6713273382566
600000	-4054.6965744158647	-683.3849885584614	-3371.3115858574033	62.759547227615826	1.1265537109175047E11	0.09708738559290109	2.974233808665692E-7	5.862952844078632	0.36031684888857507	0.1728540054983312	0.20655300467567345	0.26027614093742035	2.963441914139533E-5	-3371.3115858574033
700000	-3970.089275981502	-595.8610943129733	-3374.2281816685286	39.34284526112659	3.673922490846682E10	0.12145864913183146	4.4562805995814596E-8	7.084809469473226	0.3640287230074299	0.18824237335678584	0.20590209372044277	0.2418268099153417	8.041592816871895E-5	-3374.2281816685286
800000	-3837.0121522468617	-471.8121023768187	-3365.200049870043	10.749888336351272	5.794637346679821E9	0.45050848730998916	2.2763940164939985E-8	6.227966240998974	0.3514679896172095	0.17882170650864115	0.22833433215832494	0.24137597171582478	2.950740504060707E-4	-3365.200049870043
900000	-3688.723343477114	-324.49676392563435	-3364.22657955148	4.030898332544349	7.452872808784622E7	0.2016189443616525	7.184650316371232E-8	4.2765233600696995	0.3561680207474395	0.17981916629470557	0.21935677191455064	0.24465604104330485	0.001282680481378211	-3364.22657955148
1000000	-3531.0294020039596	-164.86368456588588	-3366.165717438074	1.0892698180984255	8.833589350488281E8	0.12218888455056542	6.12555093749219E-10	5.570905960081421	0.35072267563909554	0.17729270966519453	0.21751813579741702	0.25446647889829327	0.004341591703384409	-3366.165717438074
1100000	-3498.872426753472	-130.65525275318603	-3368.217174000286	1.1726782752867941	1.6625269464040974E8	0.6001322130516915	1.9120664526865653E-9	6.988622779354828	0.34242474900271863	0.18361788622456535	0.21690721080727754	0.2570501539654387	0.005275032856236118	-3368.217174000286
1200000	-3466.6764955348376	-103.43979728137838	-3363.236698253459	0.7331097687262502	727083.5473074608	0.07379925646024943	3.9598036675139597E-7	4.919739323614281	0.36824052168453986	0.16645899417278331	0.21866213037896012	0.2466383537637171	0.007360550953497295	-3363.236698253459
1300000	-3477.9672779646235	-112.2958470250062	-3365.671430939617	1.213601663545728	82233.60678241271	0.015204562997914506	3.3603167973607137E-6	4.126448230409764	0.3492235846871581	0.18024008198140704	0.22671690960114183	0.24381942373029347	0.006179273108830021	-3365.671430939617
1400000	-3519.0023746078696	-152.927132400319	-3366.0752422075507	0.9942518379695642	5.009620204839426E7	0.1035308615597681	8.717613222440022E-9	4.772532666102564	0.36575895010464293	0.18968401408828917	0.2121848332910239	0.2323722025160444	0.0045600862149092515	-3366.0752422075507
1500000	-3492.3095720425117	-123.30626502498862	-3369.003307017523	1.437859964439872	2.5800334996026224E8	0.03241845859457926	1.2001746981567774E-9	6.608667938913667	0.33340882828046026	0.18473373405457424	0.23821147930387399	0.243645958361092	0.004904263888783016	-3369.003307017523
1600000	-3469.833671497151	-108.28276576715243	-3361.5509057299987	1.0488029327801898	1.2239650321876492E7	0.1485402410692347	1.7971038395559302E-8	5.144270323427676	0.34665697699102954	0.17513484016524192	0.22575475793819957	0.2524534249055294	0.006323777713233854	-3361.5509057299987
1700000	-3452.3817321466154	-81.98588512116513	-3370.39584702545	0.8783759866118247	2.4904259640665653E8	0.0333477569320515	8.391545315554371E-10	5.3610305244945975	0.3470427791050154	0.18522771126205873	0.22165781782569874	0.24607169180722782	0.007773731054627389	-3370.39584702545
1800000	-3451.6799710365904	-89.48683979243707	-3362.1931312441534	0.9417084217742016	3.1593025184541197E9	0.24400585637404548	7.306186422495684E-11	4.20099076903418	0.3636729157690742	0.17477834684836746	0.21602480802361204	0.2455239293589471	0.0070914212819035965	-3362.1931312441534
1900000	-3500.245358396051	-130.8836824751581	-3369.361675920893	0.9336308481426161	9.451904093833799E8	0.0024060145044297876	3.488565291912644E-10	4.48070112015546	0.3492826101551131	0.20133431822194903	0.22517542739553148	0.22420764422740702	0.005599741717629159	-3369.361675920893
2000000	-3469.690728667555	-110.10287586417854	-3359.5878528033763	1.0547562488364468	3.4111207418866034E9	0.1755282847822348	7.169406421915436E-11	4.6364121165348875	0.35234669242641237	0.1682124327252534	0.22505864330801922	0.2543822315403155	0.0056327271705745715	-3359.5878528033763
2100000	-3501.8342665236446	-129.53991840052382	-3372.294348123121	1.110879366852518	2.5722161494354404E10	0.03549492777269414	1.2972101676422544E-11	6.004111065475458	0.35637271079552213	0.17796691658429334	0.22519867270337982	0.24046169991680513	0.005185293885874092	-3372.294348123121
2200000	-3483.0775134328296	-109.31234405793869	-3373.765169374891	1.0907835359497184	5.70987457072869E9	0.07999774417253036	4.9598082060425653E-11	5.683338965263039	0.34127078405061595	0.17487850422315626	0.23882851781134162	0.24502219391488653	0.005934611314765685	-3373.765169374891
2300000	-3555.107201902056	-193.6489945126547	-3361.4582073894017	1.0638679692257187	1.1399002144798334E11	0.10001348392315035	8.054022951653172E-12	4.826915956293297	0.3407491739303477	0.18441848438713573	0.2317061599966482	0.24312618168586875	0.004140570034531979	-3361.4582073894017
2400000	-3488.9829203573067	-122.75084027718847	-3366.232080080118	0.8988113134319411	6.731266178557471E10	0.19361801598900064	3.4673662838320488E-12	7.806250066525395	0.34029783508146444	0.1837533845086791	0.22284754448855582	0.25310123592130107	0.006100620462987341	-3366.232080080118
2500000	-3487.5809715991354	-112.06235306441714	-3375.5186185347184	0.7440994510100436	1.523487237978831E11	0.6087123529097214	1.8865290683363335E-12	4.42786795118826	0.33579843046161384	0.1987690163012589	0.21324361454079624	0.25218893869633136	0.006293250759135151	-3375.5186185347184
2600000	-3521.1848926637253	-169.41302425035116	-3351.7718684133742	1.8553975078671971	2.368732121419586E9	0.09256029811724997	2.2674577818623584E-10	5.988385352869459	0.3486392436671355	0.18176105176808613	0.21741483188419003	0.2521848726805887	0.00370845604504122	-3351.7718684133742
2700000	-3476.5697745068805	-106.53655232194643	-3370.033222184934	0.9171845363328479	3.3178439325010814E7	0.06480319278968194	7.95181996020407E-9	4.559851210097468	0.33566053397064116	0.19330648059784938	0.2337162437338559	0.2373167416976541	0.006857275647006709	-3370.033222184934
2800000	-3510.6766846402215	-147.25620894789517	-3363.4204756923264	1.2432053578081066	3.509557393499415E8	0.11440151045700153	1.0504782736722967E-9	4.698609940949758	0.3567438724241661	0.18232387420230114	0.21344030530303926	0.24749194807049385	0.0059103173292409834	-3363.4204756923264
2900000	-3520.3625486157825	-151.5084227902037	-3368.8541258255786	1.3079058030770772	1.633151780382871E9	0.22092327496324882	2.6881210340288825E-10	7.714631685246612	0.34284950062008446	0.18516122997374837	0.22646458656102145	0.24552468284514606	0.004459348725022067	-3368.8541258255786
