# BEAST v1.7.5
# Generated Mon Jan 12 13:26:08 CST 2015 [seed=1421090767589]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood
0	-3939.2688993095812	-323.2296109535524	-3616.039288356029	5.721577813730119	20.0	0.05	5.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0050	-3616.039288356029
50000	-3020.745044304069	-488.79998540505153	-2531.9450588990176	6.9785013360496375	58072.68855065293	1.071140625018994	0.022589211105772007	14.713013833717609	0.3063911475172183	0.19300731911019642	0.24773404705690838	0.2528674863156769	1.6433852355451898E-4	-2531.9450588990176
100000	-3057.122799676084	-555.0631314740828	-2502.0596682020014	20.122745970196426	134744.92963921075	0.21474981947516025	0.005660230574998979	10.174558276057537	0.3338541283895168	0.18220803461038734	0.23201069102041927	0.2519271459796765	7.416763348954936E-5	-2502.0596682020014
150000	-3128.0242945519694	-615.7688868228618	-2512.255407729108	33.855431975810674	98532.23577129442	0.2599239952057224	0.16330092135728275	8.180534357482474	0.3419547484649184	0.19636526069066018	0.2115411889535641	0.2501388018908571	2.9922634867992676E-5	-2512.255407729108
200000	-3219.91665126585	-715.569029733421	-2504.347621532429	94.06420555285165	553239.4336425955	0.07546550511190553	0.049015634464408334	13.583360972015853	0.3047810505807959	0.19621318549487182	0.22389714804939584	0.2751086158749362	1.515572193903616E-5	-2504.347621532429
250000	-3251.5251810146924	-744.945388738102	-2506.5797922765905	130.32593533730594	642238.2070716987	0.06239863450299321	0.24911763263012174	12.594276642829467	0.311200914258595	0.20633081998524358	0.2249217549776255	0.2575465107785356	8.924860336761915E-6	-2506.5797922765905
300000	-3244.437609480527	-728.6125619700086	-2515.8250475105183	101.75620365187203	725645.0113491224	0.08564655722227643	0.3817577110407826	8.272662725545251	0.32532302914308375	0.16819828980619123	0.24445775499644046	0.2620209260542843	1.199576689411488E-5	-2515.8250475105183
350000	-3248.547826322111	-737.1982721479152	-2511.349554174196	120.90875350910292	1.6217812329823956E8	0.09958353631679273	0.031145486049095176	8.773754264364463	0.3240463047822479	0.18363107312658034	0.2256726525336986	0.2666499695574728	7.275185401854235E-6	-2511.349554174196
400000	-3237.829843866045	-729.1595970151536	-2508.670246850891	106.83570325161324	1548145.171696604	0.09007614989005375	0.25709147185410003	10.730181911670286	0.2994101113661188	0.19753728322258438	0.2387695192985666	0.26428308611272966	1.0558173697378347E-5	-2508.670246850891
450000	-3207.1166037895405	-696.3353779523414	-2510.781225837199	72.55303667548212	1.6747756796424216E8	0.11254165661105353	7.039130393720617E-4	7.306788916613719	0.2988274094526603	0.19413146660713806	0.22155477853041003	0.28548634540979106	1.2809237527020973E-5	-2510.781225837199
