# BEAST v1.7.5
# Generated Wed Jun 17 19:36:05 CDT 2015 [seed=1434587764125]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-5415.582824019419	-343.49537769011914	-5072.087446329299	5.800340557611883	3.9	0.0039	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0050	-5072.087446329299	-335.57105169934647
50000	-4180.087705865501	-456.89427136406573	-3723.1934345014356	2.283701838567981	470.20069109478817	5.964296850799837	0.7360287326145842	7.49597644785522	0.3234314216047003	0.194342054415668	0.2145840258265343	0.2676424981530973	0.12391338849395651	5.583794087082034E-4	-3723.1934345014356	-442.00976241096856
100000	-4170.821889803532	-472.75186593766387	-3698.070023865868	2.40944681959098	4977.80115087167	4.273292416276596	0.11599090530390126	6.455176524630853	0.3452590165928982	0.1980756381217459	0.199941797880946	0.2567235474044096	0.31125099595315275	7.2957777256076E-4	-3698.070023865868	-458.01744651447694
150000	-4220.875983528778	-526.3601014416693	-3694.5158820871093	3.277391474754467	244.55833350723367	2.947029316231032	0.9355293845374871	9.446448207366332	0.3203158514735576	0.1866373644471587	0.2269439947283545	0.26610278935092885	0.4167665505733866	4.5701372101981296E-4	-3694.5158820871093	-512.8573070592321
200000	-4176.0289754339765	-511.44299292063926	-3664.5859825133375	2.918870961775579	686.4402747675939	3.5601975838687685	0.5686156971791512	7.615440288206914	0.34907658305074196	0.18370229475060187	0.22384406158040415	0.24337706061825168	0.4533049046548197	6.084093631195915E-4	-3664.5859825133375	-497.1246109848345
250000	-4201.721435534115	-525.5811452782891	-3676.1402902558257	3.605887940174581	22124.670843480017	2.5291548707127323	0.032942326628963244	7.047525763919623	0.35092666969643904	0.19462050786884563	0.21830816799129238	0.23614465444342253	0.5792040826738889	4.2366951917685634E-4	-3676.1402902558257	-511.37915425767005
300000	-4164.044439504116	-502.88722038017977	-3661.157219123936	3.0063541472502724	808.8546376201678	2.747234105754466	0.20196119037365923	7.1171514148313655	0.3432751148357775	0.19130691696085547	0.2179677814901395	0.24745018671322705	0.3911901260113426	6.019211190423363E-4	-3661.157219123936	-490.0951088329326
350000	-4135.817647933302	-476.3498654921772	-3659.467782441125	2.646079250298836	9810.139264085754	3.272581559645106	0.02462732549136454	7.302790651412343	0.3598643012570472	0.18239556394345885	0.20768661003606373	0.2500535247634297	0.41683038822462487	7.282864798860596E-4	-3659.467782441125	-462.6161530330504
400000	-4087.0467683689185	-428.0283688256565	-3659.018399543262	2.1071672025337596	2633.4875327210793	2.7202841103013844	0.0089782338737424	4.944789027957446	0.3728443019156559	0.19730253835416384	0.21298435720988018	0.21686880252029947	1.4524716412481533	0.001286835706800544	-3659.018399543262	-414.85933490261095
450000	-4052.7090919585194	-406.8506242708354	-3645.858467687684	2.024230336200076	168.37661437983743	2.4248856106522387	0.07564852778812843	5.514168558130276	0.32925242664163623	0.18293499398296503	0.25396406806709815	0.23384851130829984	1.7667764034739024	0.0017416837653237956	-3645.858467687684	-393.40895739093025
500000	-4132.239503419251	-482.9417363974046	-3649.2977670218465	3.0994881567098695	241.93706178050718	2.114261309324914	0.19339452107776586	7.2317406526444445	0.3569952030038765	0.1927454024677698	0.2053692515645791	0.24489014296377384	1.5716984944845143	9.698255062843872E-4	-3649.2977670218465	-468.95517289049974
550000	-4046.525742170903	-391.05052611745424	-3655.4752160534485	1.7184753778960136	139.28319924483716	5.0304190409937215	0.15876689342280942	4.759300159925221	0.3319523821984106	0.17484987105990832	0.23444237440565144	0.2587553723360289	0.850082025159506	0.0016663547335408861	-3655.4752160534485	-377.63845544379325
