# BEAST v1.7.5
# Generated Thu Jun 18 18:00:13 CDT 2015 [seed=1434668412307]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-25925.749071890583	-2473.7871787754893	-23451.961893115094	76.48452717014493	20.0	0.02	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0050	-23451.961893115094	-2464.991097159567
50000	-17576.74416470674	-2265.8888462247137	-15310.855318482025	3.7824109585832644	203.55014236490956	3.597517808750224	1.7798454988283368	9.407095865943798	0.30372065390509356	0.2084682154283812	0.20730787123045993	0.2805032594360653	0.21068077417225028	0.005881949356746493	-15310.855318482025	-2242.1051591839705
100000	-16120.862846067395	-2136.6688736686187	-13984.193972398776	3.0278469030291633	130.85717568856532	7.362030970179108	1.9690342686504632	10.062875006622612	0.3596931179709747	0.20614633658176623	0.1861398081641325	0.24802073728312662	0.2398679195120981	0.003625637185375628	-13984.193972398776	-2103.387710060228
150000	-15266.348322497164	-2094.5765881117295	-13171.771734385435	3.079571448477299	78.46704291183325	7.445062042335348	2.0416610281680634	9.46498829571762	0.36135883362182786	0.1841657233922695	0.1933045412164065	0.2611709017694961	0.25753350472957254	0.0036594647993570357	-13171.771734385435	-2061.6641976967117
200000	-14519.392016730082	-2031.8872268284733	-12487.504789901608	2.9190935364929183	72.8328035506669	8.249189581994024	2.028379363417005	10.414058592985276	0.3565254247763418	0.187975817784389	0.19581969930318383	0.2596790581360853	0.26749766629751953	0.0033257734135964173	-12487.504789901608	-1996.734013482835
250000	-14143.202415983727	-1975.483678424419	-12167.71873755931	2.9218152947421574	50.81752508617422	5.750496848432216	1.9754253932206722	8.932445136217614	0.3479408587460713	0.19864772550929743	0.2053297450367677	0.24808167070786355	0.2905918471235718	0.003409863785614603	-12167.71873755931	-1948.1848671058112
300000	-13747.56937577057	-1954.5910501927187	-11792.978325577851	3.1704046234341483	47.47168114572617	5.575147897819688	1.9725785798224018	10.077368716087996	0.34723861003275736	0.20452697283435806	0.19911384068044677	0.24912057645243763	0.26957724818613904	0.0033345333818425326	-11792.978325577851	-1927.7323297964278
350000	-13456.512779382638	-1847.5539903743083	-11608.95878900833	2.954807523969833	30.4694925617783	6.367412457613443	2.0206815480576292	10.304210037189835	0.3372788397917517	0.19766416142407525	0.1951945822326752	0.26986241655149773	0.29942087058680855	0.0035462816367839876	-11608.95878900833	-1818.6811341753648
400000	-13194.868336129655	-1754.4880237011478	-11440.380312428508	2.6728647702637636	27.42485016830213	7.667338168117146	1.9557098957316417	8.308898721594034	0.33524925994508514	0.19674497669435892	0.2181549180914827	0.24985084526907334	0.3364796735172165	0.0038549895180766355	-11440.380312428508	-1722.2242671805886
450000	-12845.442001668522	-1626.5664059373055	-11218.875595731217	2.6879327056064946	22.954994705376293	6.82613269292189	1.814498756750061	11.67720579630287	0.34797633247878734	0.18839407339394215	0.21116531433304986	0.25246427979422087	0.3737057227469799	0.004368940610131242	-11218.875595731217	-1596.1756221991188
500000	-12703.550407476978	-1594.5645169070046	-11108.985890569973	2.4259516803980588	23.57162341038352	8.464526787320331	1.800706156998061	9.945893794963037	0.36130446409952827	0.18256714469037363	0.2027596066766009	0.2533687845334975	0.31114822664829567	0.00437453980262898	-11108.985890569973	-1559.845064130248
550000	-12615.362227325882	-1568.3091837831794	-11047.053043542703	2.655551504410341	17.310139709429755	8.25513625912633	1.8543509157370552	12.230376957141736	0.3560391291887816	0.18802982908108382	0.2150231697600787	0.2409078719700562	0.36005641022371415	0.004773312690435102	-11047.053043542703	-1533.8866903704757
600000	-12498.5127023071	-1501.3068052273413	-10997.205897079759	2.769879906333039	20.14063751435462	5.581433984076366	1.6744140143997492	10.376178649580543	0.3531117981686805	0.19097404673353663	0.20440451746503235	0.2515096376327509	0.3523361995340736	0.004710695501102481	-10997.205897079759	-1474.9331681847304
650000	-12405.502952420233	-1466.0119513429909	-10939.491001077242	2.559443786716884	15.73719398023887	7.565570048715728	1.772410516132162	10.273325332152128	0.33931170280550094	0.20176065034627758	0.21346083357665288	0.24546681327156902	0.30901951332947253	0.00471637614635507	-10939.491001077242	-1434.1939012247324
700000	-12304.351292280426	-1417.5222241540114	-10886.829068126413	2.454561057527373	13.939233806931302	6.359752349304818	1.7096067242893889	11.47815611650911	0.3512747614184625	0.1914178748214353	0.19931477638070197	0.25799258737940045	0.30632637819529973	0.004729399074258842	-10886.829068126413	-1389.1523617784628
750000	-12231.178584214258	-1377.9123966146435	-10853.266187599615	2.667864654090275	13.180815039675416	6.517354345487177	1.734992227010569	10.418920494083192	0.35628953160995197	0.19793477054552827	0.1993345497263132	0.24644114811820664	0.40299374325493875	0.005166094716551119	-10853.266187599615	-1349.023671408297
800000	-12219.923443343916	-1369.0852882231502	-10850.838155120766	2.4394393617438266	13.608666428469313	7.6338900229882825	1.7267731152996855	10.255847507996924	0.36756255059509807	0.17888320577258884	0.2141341610403956	0.23942008259191763	0.31451311933022935	0.005418409281299299	-10850.838155120766	-1337.0906215944785
